,Model_Name,Model_Version,Test_Set,Prediction_File,Toxicity,CoLA,Hate,Offensive,Context_Cosine_Sim,Counter_Argument,Repetition_Rate,Topic_F1,G-Score
0,gpt2-medium,"16,05,2023-21,09",Sexism,"gpt2-medium_16,05,2023-21,09_Sexism_06,06,2023--21,33.csv",0.9031726411207253,0.9555006180469716,0.9977338277709106,0.9837247630819942,0.7046742219743436,0.9328388957560775,0.5203957590937832,0.5202408137845133,0.8147851925786649
1,bart-large,"18,05,2023--19,18",Sexism,"bart-large_18,05,2023--19,18_Sexism_06,06,2023--21,55.csv",0.8633086114544706,0.9573547589616811,0.9948496085702513,0.9602389781623404,0.7470408123666532,0.8374536464771323,0.6957920075110618,0.5502467709755329,0.8257856493098904
2,CounterGeDI,DialoGPT-medium-gedi,Sexism,CounterGeDI_DialoGPT-medium-gedi_Sexism_1686125903.csv,0.792542233209724,0.9140914709517923,0.9989699217140503,0.9903172641120725,0.6106783047220223,0.5758137618459003,0.5276630287329663,0.23971044467425026,0.7062233037453473
3,gpt2-medium-category,"11,06,2023--00,31",Sexism,"gpt2-medium-category_11,06,2023--00,31_Sexism_11,06,2023--19,44.csv",0.814997939843428,0.9295426452410384,0.9985578903996704,0.9746600741656366,0.6886145899361625,0.8566131025957973,0.5178708558641701,0.7466390899689762,0.8159370235018599
4,GPS,USE-QA-SIM,Sexism,"GPS_USE-QA-SIM_Sexism_22,06,2023--18,37.csv",0.9273794808405439,0.7334157395962093,1.0,0.9810465595385249,0.683155808025272,0.9373712402142563,0.43373943764568756,0.5872074882995321,0.7854144692700032
