,Model_Name,Model_Version,Test_Set,Prediction_File,Toxicity,CoLA,Hate,Offensive,Label_Cosine_Sim,Context_Cosine_Sim,Counter_Argument,Repetition_Rate,Topic_F1,G-Score
0,\bart-large,"18,05,2023--19,18",Small,"\bart-large_18,05,2023--19,18_Small_06,06,2023--21,46.csv",0.9375,0.9625,1.0,1.0,0.7657937221229076,0.7992977496236562,0.95,0.9053217821782178,0.8301886792452831,0.905622437018896
1,\ChatGPT-3.5,"24,05,2023",Small,"\ChatGPT-3.5_24,05,2023_Small_05_07_2023__14_31_49.csv",1.0,1.0,1.0,1.0,0.7229828317960103,0.7575460903346538,1.0,0.7416808234236035,0.8625,0.898301082839363
2,\ChatGPT-4.0,"24,05,2023",Small,"\ChatGPT-4.0_24,05,2023_Small_05_07_2023__14_31_49.csv",1.0,1.0,1.0,1.0,0.7456792923311393,0.8120557349175215,1.0,0.8749179969385523,0.8875,0.9244614471319126
3,\CounterGeDI,DialoGPT-medium-gedi,Small,\CounterGeDI_DialoGPT-medium-gedi_Small_1686090576.csv,0.8,0.8875,0.9875,1.0,0.6693352177739144,0.7098037887364625,0.725,0.8774342911616505,0.4025157232704403,0.784343224549163
4,\GPS,USE-QA-SIM,Small,"\GPS_USE-QA-SIM_Small_22,06,2023--18,37.csv",0.875,0.8125,1.0,0.9625,0.7612069579462211,0.8390342965722084,0.9625,0.9785123966942149,0.8875,0.8976392945791827
5,\gpt2-medium-category,"11,06,2023--00,31",Small,"\gpt2-medium-category_11,06,2023--00,31_Small_11,06,2023--20,18.csv",0.93125,0.975,1.0,1.0,0.7276309070487817,0.7828031376004219,0.8875,0.9107391910739191,0.7875,0.8891581373025692
6,\gpt2-medium,"16,05,2023-21,09",Small,"\gpt2-medium_16,05,2023-21,09_Small_06,06,2023--20,43.csv",0.9624999999999999,0.9875,1.0,1.0,0.745981294165055,0.8093364201486111,0.9625,0.8586197261804973,0.8074534161490683,0.9037656507381369
7,\gpt2-xl,"07,11,2024--21,00",Small,"\gpt2-xl_07,11,2024--21,00_Small_10,11,2024--14,34.csv",0.98125,1.0,1.0,0.9875,0.7468117065727711,0.8412519495934248,1.0,0.7405247813411079,0.9,0.9108153819452559
8,\Human,NAN,Small,\Human_NAN_Small_NAN.csv.csv,0.95625,0.9625,1.0,1.0,1.00000001663963,0.7683146771043539,0.9875,0.9945436507936508,0.8679245283018868,0.9485592080932802
