,Model_Name,Model_Version,Test_Set,Prediction_File,Toxicity,CoLA,Hate,Offensive,Label_Cosine_Sim,Context_Cosine_Sim,Counter_Argument,Repetition_Rate,Topic_F1,G-Score
0,gpt2-medium,"16,05,2023-21,09",Small,"gpt2-medium_16,05,2023-21,09_Small_06,06,2023--20,43.csv",0.9624999999999999,0.9875,1.0,1.0,0.7459678565462431,0.8093322902917861,0.9625,0.8586197261804973,0.8074534161490683,0.9037636987963994
1,bart-large,"18,05,2023--19,18",Small,"bart-large_18,05,2023--19,18_Small_06,06,2023--21,46.csv",0.9375,0.9625,1.0,1.0,0.7657842641075452,0.7992863528430463,0.95,0.9053217821782178,0.8301886792452831,0.9056201198193435
2,CounterGeDI,DialoGPT-medium-gedi,Small,CounterGeDI_DialoGPT-medium-gedi_Small_1686090576.csv,0.8,0.8875,0.9875,1.0,0.6693190985669691,0.7097874395549297,0.725,0.8774342911616505,0.4025157232704402,0.7843396169504433
3,gpt2-medium-category,"11,06,2023--00,31",Small,"gpt2-medium-category_11,06,2023--00,31_Small_11,06,2023--20,18.csv",0.93125,0.975,1.0,1.0,0.7276153100033601,0.7827937319874764,0.8875,0.9107391910739191,0.7924528301886793,0.889705673694826
4,Human,NAN,Small,Human_NAN_Small_NAN.csv.csv,0.95625,0.9625,1.0,1.0,1.0000000235935051,0.7682973250746727,0.9875,0.9945436507936508,0.8679245283018868,0.948557280862635
5,GPS,USE-QA-SIM,Small,"GPS_USE-QA-SIM_Small_22,06,2023--18,37.csv",0.875,0.8125,1.0,0.9625,0.7611945147315661,0.8390233390033246,0.9625,0.9785123966942149,0.8875,0.8976366944921228
6,ChatGPT,4.0,"24,05,2023","ChatGPT_4.0_24,05,2023_Small_05_07_2023__14_31_49.csv",1.0,1.0,1.0,1.0,0.7456658189495404,0.8120443962514401,1.0,0.8749179969385523,0.8875,0.9244586902377259
7,ChatGPT,3.5,"24,05,2023","ChatGPT_3.5_24,05,2023_Small_05_07_2023__14_31_49.csv",1.0,1.0,1.0,1.0,0.7229670596619447,0.7575379777699709,1.0,0.7416808234236035,0.8625,0.8982984289839465
